id,product_id,brand,product_line,product_class,product_size
0,0,OHM Cycles,Road,medium,medium
1,0,Norco Bicycles,Standard,low,medium
2,0,OHM Cycles,Road,high,large
3,0,Trek Bicycles,Standard,medium,medium
4,0,OHM Cycles,Standard,medium,medium
5,0,Solex,Standard,medium,medium
6,0,OHM Cycles,Standard,low,medium
7,0,Trek Bicycles,Standard,high,medium
8,0,,,,
9,0,Norco Bicycles,Road,medium,medium
10,0,Giant Bicycles,Standard,medium,medium
11,0,OHM Cycles,Standard,high,medium
12,0,Giant Bicycles,Standard,medium,large
13,0,WeareA2B,Standard,medium,medium
14,0,Solex,Road,medium,medium
15,0,Norco Bicycles,Standard,medium,medium
16,0,WeareA2B,Standard,medium,small
17,0,Solex,Standard,medium,large
18,0,Trek Bicycles,Road,medium,medium
19,1,Giant Bicycles,Touring,medium,large
20,1,Giant Bicycles,Standard,medium,medium
21,2,Giant Bicycles,Road,low,small
22,2,Solex,Standard,medium,medium
23,3,Trek Bicycles,Standard,medium,large
24,4,Solex,Standard,medium,medium
25,4,Giant Bicycles,Standard,high,medium
26,5,Giant Bicycles,Standard,high,medium
27,5,Trek Bicycles,Mountain,low,medium
28,6,OHM Cycles,Standard,high,medium
29,6,Solex,Standard,high,medium
30,7,Giant Bicycles,Standard,medium,small
31,7,Trek Bicycles,Road,low,medium
32,8,Solex,Road,medium,small
33,9,Norco Bicycles,Standard,medium,small
34,9,OHM Cycles,Road,medium,medium
35,10,WeareA2B,Touring,medium,medium
36,10,Solex,Standard,medium,medium
37,11,Trek Bicycles,Standard,medium,small
38,11,Giant Bicycles,Standard,high,medium
39,12,WeareA2B,Standard,medium,medium
40,12,Giant Bicycles,Standard,medium,large
41,13,Solex,Standard,medium,medium
42,14,Solex,Standard,high,large
43,14,Trek Bicycles,Standard,medium,small
44,15,Norco Bicycles,Standard,low,medium
45,15,WeareA2B,Standard,medium,medium
46,16,Norco Bicycles,Standard,high,small
47,17,WeareA2B,Touring,medium,large
48,17,Solex,Standard,high,medium
49,18,Solex,Standard,medium,medium
50,18,Norco Bicycles,Standard,high,medium
51,19,Trek Bicycles,Mountain,low,medium
52,19,OHM Cycles,Road,high,large
53,20,Trek Bicycles,Standard,medium,small
54,21,WeareA2B,Touring,medium,medium
55,21,Solex,Standard,medium,large
